Frame,Class,X,Y,Speed
38,Player1,637,478,0.07710579232757896
38,Player2,718,331,0.10344827586206896
38,Shuttlecock,691,306,0.3448275862068966
38,Shuttlecock,693,301,0.18569533817705186
39,Player1,639,478,0.06896551724137931
39,Player2,719,331,0.034482758620689655
40,Player1,638,478,0.034482758620689655
40,Player2,719,331,0.0
41,Player1,641,479,0.1090440572471855
41,Player2,720,331,0.034482758620689655
41,Shuttlecock,697,309,0.3084231693103158
42,Player1,647,478,0.20975043207924896
42,Player2,720,330,0.034482758620689655
42,Shuttlecock,699,308,0.07710579232757896
43,Player1,652,479,0.17582825908940636
43,Player2,723,331,0.1090440572471855
43,Shuttlecock,699,307,0.034482758620689655
44,Player1,657,480,0.17582825908940636
44,Player2,725,332,0.07710579232757896
44,Shuttlecock,699,309,0.06896551724137931
45,Player1,661,481,0.1421760560557814
45,Player2,727,335,0.12432935432634445
45,Shuttlecock,699,314,0.1724137931034483
45,Shuttlecock,752,312,1.8288869801622234
46,Player1,661,481,0.0
46,Player2,727,335,0.0
46,Shuttlecock,699,314,1.8288869801622234
46,Shuttlecock,752,312,1.8288869801622234
47,Player1,664,481,0.10344827586206896
47,Player2,728,337,0.07710579232757896
48,Player1,668,482,0.1421760560557814
48,Player2,728,340,0.10344827586206896
49,Player1,674,481,0.20975043207924896
49,Player2,727,339,0.048765984909417075
50,Player1,680,481,0.20689655172413793
50,Player2,728,340,0.048765984909417075
51,Player1,687,482,0.24382992454708535
51,Player2,728,340,0.0
52,Player1,687,482,0.0
52,Player2,728,340,0.0
53,Player1,690,481,0.1090440572471855
53,Player2,729,340,0.034482758620689655
54,Player1,695,483,0.18569533817705186
54,Player2,727,338,0.09753196981883415
54,Shuttlecock,655,326,3.379486272690101
55,Player1,699,489,0.2486587086526889
55,Player2,725,336,0.09753196981883415
55,Shuttlecock,645,313,0.5655592919605767
56,Player1,707,498,0.41522739926869984
56,Player2,724,337,0.048765984909417075
56,Shuttlecock,634,303,0.5126230602523623
57,Player2,725,338,0.048765984909417075
57,Player1,715,502,0.3084231693103158
57,Shuttlecock,621,296,0.5091318296632207
58,Player2,725,338,0.0
58,Player1,715,502,0.0
58,Shuttlecock,621,296,0.0
59,Player1,717,507,0.18569533817705186
59,Player2,721,337,0.1421760560557814
59,Shuttlecock,607,292,0.5020765440883116
60,Player1,717,509,0.06896551724137931
60,Player2,723,340,0.12432935432634445
60,Shuttlecock,594,291,0.4496001658760448
61,Player1,717,508,0.034482758620689655
61,Player2,722,342,0.07710579232757896
61,Shuttlecock,582,290,0.41522739926869984
62,Player2,725,346,0.1724137931034483
62,Player1,709,505,0.2946208188040528
62,Shuttlecock,570,291,0.41522739926869984
63,Player1,703,499,0.2925959094565024
63,Player2,723,347,0.07710579232757896
63,Shuttlecock,559,294,0.3931639396893579
64,Player1,703,499,0.0
64,Player2,723,347,0.0
64,Shuttlecock,559,294,0.0
65,Player1,690,494,0.4802892509373834
65,Player2,721,348,0.07710579232757896
65,Shuttlecock,548,298,0.4036103417489526
66,Player1,683,482,0.47904979273964843
66,Player2,715,347,0.20975043207924896
66,Shuttlecock,537,304,0.43206772710833335
67,Player2,710,347,0.1724137931034483
67,Player1,676,475,0.3413618943659195
67,Shuttlecock,527,310,0.4021346134376069
68,Player2,708,346,0.07710579232757896
68,Player1,666,470,0.3855289616378948
68,Shuttlecock,516,317,0.4496001658760448
69,Player1,652,469,0.4839885809523517
69,Player2,706,343,0.12432935432634445
69,Shuttlecock,505,329,0.5613386412448175
70,Player1,652,469,0.0
70,Player2,705,343,0.034482758620689655
70,Shuttlecock,505,329,0.0
71,Player1,645,468,0.24382992454708535
71,Player2,702,341,0.12432935432634445
71,Shuttlecock,495,340,0.5126230602523623
72,Player2,696,339,0.218088114494371
72,Player1,635,470,0.3516565181788127
72,Shuttlecock,485,353,0.5655592919605767
73,Player2,692,335,0.1950639396376683
73,Player1,628,471,0.24382992454708535
73,Shuttlecock,476,367,0.5739074819687324
74,Player2,683,334,0.312254659935773
74,Player1,613,470,0.5183895302887209
74,Shuttlecock,466,383,0.6506193884176967
75,Player1,600,472,0.4535498771712381
75,Player2,674,333,0.312254659935773
